Fréquence (Hz)	Niveau (dB)
0,244141	-103,016685
0,488281	-100,385612
0,732422	-102,623466
0,976563	-105,316963
1,220703	-103,448296
1,464844	-99,527840
1,708984	-95,983833
1,953125	-97,461227
2,197266	-95,106972
2,441406	-92,437996
2,685547	-92,391991
2,929688	-93,084320
3,173828	-89,395485
3,417969	-93,044533
3,662109	-90,332092
3,906250	-88,090561
4,150391	-90,520058
4,394531	-89,618050
4,638672	-92,981522
4,882813	-90,649750
5,126953	-88,810799
5,371094	-88,951370
5,615234	-91,538399
5,859375	-92,100174
6,103516	-91,958511
6,347656	-91,636497
6,591797	-91,156685
6,835938	-94,988335
7,080078	-92,698044
7,324219	-89,600052
7,568359	-89,683609
7,812500	-87,163086
8,056641	-90,169800
8,300781	-90,385834
8,544922	-89,296814
8,789063	-90,412834
9,033203	-89,037659
9,277344	-87,538307
9,521484	-87,457047
9,765625	-89,709541
10,009766	-88,551025
10,253906	-87,631615
10,498047	-87,205673
10,742188	-85,449402
10,986328	-86,028572
11,230469	-89,298622
11,474609	-90,707840
11,718750	-87,550308
11,962891	-84,561600
12,207031	-86,194695
12,451172	-93,909889
12,695313	-91,349716
12,939453	-91,824005
13,183594	-91,732048
13,427734	-97,203979
13,671875	-90,277893
13,916016	-87,030975
14,160156	-86,914894
14,404297	-90,178741
14,648438	-90,021461
14,892578	-87,950859
15,136719	-94,322914
15,380859	-88,200516
15,625000	-82,496346
15,869141	-84,589333
16,113281	-83,570061
16,357422	-84,786034
16,601563	-94,738548
16,845703	-85,321022
17,089844	-82,476219
17,333984	-79,411560
17,578125	-78,416565
17,822266	-81,224648
18,066406	-85,490433
18,310547	-85,435532
18,554688	-87,175171
18,798828	-83,452118
19,042969	-82,500572
19,287109	-82,122574
19,531250	-82,028305
19,775391	-82,551552
20,019531	-82,221954
20,263672	-82,579468
20,507813	-82,015411
20,751953	-83,487099
20,996094	-88,984970
21,240234	-86,891975
21,484375	-86,437073
21,728516	-86,364426
21,972656	-85,909050
22,216797	-80,791092
22,460938	-84,070999
22,705078	-83,754868
22,949219	-82,811729
23,193359	-79,666901
23,437500	-80,689575
23,681641	-80,348511
23,925781	-86,225235
24,169922	-91,109985
24,414063	-85,426041
24,658203	-84,458076
24,902344	-84,552582
25,146484	-84,335693
25,390625	-88,917488
25,634766	-89,307968
25,878906	-88,069031
26,123047	-85,309578
26,367188	-83,786446
26,611328	-84,051857
26,855469	-81,292267
27,099609	-81,089409
27,343750	-82,710793
27,587891	-83,787521
27,832031	-83,978874
28,076172	-84,027298
28,320313	-80,529892
28,564453	-82,458244
28,808594	-85,064171
29,052734	-86,256950
29,296875	-80,278168
29,541016	-77,817192
29,785156	-80,441582
30,029297	-82,972404
30,273438	-82,992752
30,517578	-86,615219
30,761719	-84,127998
31,005859	-81,093002
31,250000	-84,225555
31,494141	-79,652161
31,738281	-82,151947
31,982422	-83,426643
32,226563	-83,203903
32,470703	-83,058075
32,714844	-82,429558
32,958984	-82,599525
33,203125	-83,134201
33,447266	-83,196465
33,691406	-83,561401
33,935547	-84,212677
34,179688	-83,044113
34,423828	-83,699890
34,667969	-86,665100
34,912109	-82,711800
35,156250	-81,240623
35,400391	-84,822830
35,644531	-89,417458
35,888672	-91,495270
36,132813	-83,712860
36,376953	-81,143181
36,621094	-83,166069
36,865234	-81,578560
37,109375	-83,154945
37,353516	-87,813499
37,597656	-81,666374
37,841797	-85,422409
38,085938	-89,800041
38,330078	-88,199905
38,574219	-83,642357
38,818359	-80,276611
39,062500	-84,368034
39,306641	-88,498466
39,550781	-86,469543
39,794922	-86,629456
40,039063	-84,591118
40,283203	-85,440788
40,527344	-85,821892
40,771484	-88,778976
41,015625	-86,087341
41,259766	-85,441032
41,503906	-85,481377
41,748047	-88,038490
41,992188	-94,804573
42,236328	-97,102905
42,480469	-92,726952
42,724609	-84,734482
42,968750	-83,791206
43,212891	-85,218491
43,457031	-87,543098
43,701172	-89,267296
43,945313	-88,261322
44,189453	-88,539131
44,433594	-88,167770
44,677734	-86,431473
44,921875	-88,620163
45,166016	-89,793839
45,410156	-93,741440
45,654297	-96,154854
45,898438	-96,643326
46,142578	-93,801659
46,386719	-92,118095
46,630859	-90,463341
46,875000	-93,773911
47,119141	-95,526718
47,363281	-95,067245
47,607422	-97,870316
47,851563	-98,760193
48,095703	-99,741432
48,339844	-92,936722
48,583984	-89,930916
48,828125	-92,012650
49,072266	-94,406822
49,316406	-92,135262
49,560547	-94,960548
49,804688	-97,037476
50,048828	-96,661278
50,292969	-102,278915
50,537109	-100,496368
50,781250	-96,831955
51,025391	-97,855965
51,269531	-100,333328
51,513672	-101,586021
51,757813	-100,155556
52,001953	-96,612617
52,246094	-96,437057
52,490234	-98,732056
52,734375	-97,846512
52,978516	-95,939415
53,222656	-94,534660
53,466797	-91,925835
53,710938	-94,151268
53,955078	-95,155968
54,199219	-96,430870
54,443359	-96,025650
54,687500	-91,479424
54,931641	-90,182602
55,175781	-92,311409
55,419922	-94,114258
55,664063	-94,378578
55,908203	-93,029373
56,152344	-91,438431
56,396484	-92,900543
