Fréquence (Hz)	Niveau (dB)
0,244141	-88,008110
0,488281	-89,946396
0,732422	-86,701691
0,976563	-87,507530
1,220703	-87,508743
1,464844	-87,556084
1,708984	-90,846092
1,953125	-87,733841
2,197266	-85,672531
2,441406	-84,353615
2,685547	-81,810394
2,929688	-81,836754
3,173828	-87,796898
3,417969	-81,528786
3,662109	-79,154922
3,906250	-77,364990
4,150391	-76,708893
4,394531	-75,390976
4,638672	-77,594246
4,882813	-82,424850
5,126953	-78,628540
5,371094	-76,598358
5,615234	-79,807892
5,859375	-75,864799
6,103516	-72,997047
6,347656	-78,299904
6,591797	-77,802361
6,835938	-73,169777
7,080078	-80,398239
7,324219	-72,793221
7,568359	-71,493805
7,812500	-78,219444
8,056641	-70,442223
8,300781	-68,975517
8,544922	-70,797394
8,789063	-76,366379
9,033203	-78,421951
9,277344	-77,570145
9,521484	-78,172630
9,765625	-73,743416
10,009766	-72,115433
10,253906	-73,808060
10,498047	-75,554848
10,742188	-78,761154
10,986328	-69,572159
11,230469	-68,894386
11,474609	-73,031593
11,718750	-71,460594
11,962891	-75,327377
12,207031	-76,940483
12,451172	-77,048805
12,695313	-71,276421
12,939453	-67,671982
13,183594	-72,626701
13,427734	-78,422333
13,671875	-71,485596
13,916016	-67,298958
14,160156	-71,572861
14,404297	-68,402336
14,648438	-71,141136
14,892578	-71,600060
15,136719	-72,164658
15,380859	-67,339363
15,625000	-72,492920
15,869141	-73,191734
16,113281	-67,230537
16,357422	-67,325676
16,601563	-66,248802
16,845703	-71,864815
17,089844	-68,830078
17,333984	-69,881599
17,578125	-77,340622
17,822266	-75,019791
18,066406	-70,370163
18,310547	-69,197418
18,554688	-69,651001
18,798828	-72,869995
19,042969	-73,352516
19,287109	-73,918716
19,531250	-69,892204
19,775391	-67,838669
20,019531	-67,459213
20,263672	-70,092827
20,507813	-68,704895
20,751953	-69,798218
20,996094	-71,796684
21,240234	-72,569565
21,484375	-66,290184
21,728516	-69,459213
21,972656	-68,226280
22,216797	-66,362175
22,460938	-70,294357
22,705078	-75,574242
22,949219	-73,503105
23,193359	-72,456306
23,437500	-70,800499
23,681641	-73,825920
23,925781	-72,666328
24,169922	-71,998817
24,414063	-70,039139
24,658203	-70,816536
24,902344	-67,479256
25,146484	-63,170494
25,390625	-63,081558
25,634766	-65,035271
25,878906	-65,912872
26,123047	-66,509880
26,367188	-67,131897
26,611328	-67,047798
26,855469	-64,538170
27,099609	-67,450005
27,343750	-67,968277
27,587891	-67,172279
27,832031	-70,874802
28,076172	-70,840286
28,320313	-68,698265
28,564453	-75,438766
28,808594	-70,977112
29,052734	-68,794212
29,296875	-66,520241
29,541016	-66,900719
29,785156	-76,310318
30,029297	-68,207840
30,273438	-64,697556
30,517578	-65,299835
30,761719	-67,816414
31,005859	-73,990723
31,250000	-75,215942
31,494141	-75,916100
31,738281	-69,664963
31,982422	-72,849617
32,226563	-78,710175
32,470703	-74,831100
32,714844	-73,150948
32,958984	-67,051056
33,203125	-70,093338
33,447266	-70,642273
33,691406	-69,112778
33,935547	-73,315384
34,179688	-75,030701
34,423828	-72,143753
34,667969	-67,801277
34,912109	-66,843903
35,156250	-71,106239
35,400391	-71,359634
35,644531	-68,607529
35,888672	-70,765587
36,132813	-71,545242
36,376953	-75,159943
36,621094	-73,811050
36,865234	-73,700279
37,109375	-74,091743
37,353516	-71,484543
37,597656	-69,758301
37,841797	-72,412575
38,085938	-72,960442
38,330078	-75,181335
38,574219	-84,243713
38,818359	-78,058411
39,062500	-77,529022
39,306641	-88,732903
39,550781	-74,164421
39,794922	-74,243439
40,039063	-75,769264
40,283203	-75,334213
40,527344	-74,710335
40,771484	-72,875488
41,015625	-73,963684
41,259766	-76,878700
41,503906	-76,217812
41,748047	-71,425835
41,992188	-72,110657
42,236328	-83,364693
42,480469	-76,593697
42,724609	-80,256371
42,968750	-81,631271
43,212891	-76,985954
43,457031	-75,603233
43,701172	-79,832985
43,945313	-79,779945
44,189453	-77,209160
44,433594	-77,269295
44,677734	-77,841560
44,921875	-82,260323
45,166016	-78,538940
45,410156	-79,088249
45,654297	-77,969933
45,898438	-76,641708
46,142578	-80,237991
46,386719	-83,873299
46,630859	-79,256264
46,875000	-79,305794
47,119141	-81,807396
47,363281	-84,511467
47,607422	-94,205925
47,851563	-85,747177
48,095703	-82,128838
48,339844	-83,426666
48,583984	-87,050804
48,828125	-86,197800
49,072266	-84,573845
49,316406	-87,456940
49,560547	-88,564911
49,804688	-97,497330
50,048828	-86,211197
50,292969	-85,684593
50,537109	-89,094910
50,781250	-92,348045
51,025391	-103,140656
51,269531	-94,198166
51,513672	-93,256905
51,757813	-96,213600
52,001953	-96,578377
52,246094	-90,867317
52,490234	-88,753906
52,734375	-90,078926
52,978516	-89,550499
53,222656	-92,349220
53,466797	-87,738647
53,710938	-89,140968
53,955078	-89,400856
54,199219	-88,802551
54,443359	-88,559265
54,687500	-84,329437
54,931641	-83,344543
55,175781	-81,807747
55,419922	-79,084373
55,664063	-81,664589
55,908203	-80,852806
56,152344	-80,296303
56,396484	-79,524765
56,640625	-81,055878
56,884766	-80,382149
57,128906	-77,280655
57,373047	-77,942131
57,617188	-83,131905
57,861328	-81,323624
58,105469	-77,100784
58,349609	-77,641838
58,593750	-81,075104
58,837891	-76,613213
59,082031	-81,651489
59,326172	-72,113342
59,570313	-77,483643
59,814453	-83,703285
60,058594	-78,689323
60,302734	-79,409462
60,546875	-70,222771
60,791016	-72,145531
61,035156	-72,789879
61,279297	-70,538315
61,523438	-77,360916
61,767578	-71,313927
62,011719	-67,999390
62,255859	-68,109901
62,500000	-71,204926
62,744141	-79,400726
62,988281	-75,059044
63,232422	-75,049622
63,476563	-77,491470
63,720703	-72,506416
63,964844	-70,828194
64,208984	-72,374184
64,453125	-70,694344
64,697266	-67,114220
64,941406	-68,383987
65,185547	-70,755013
65,429688	-67,512169
65,673828	-73,892052
65,917969	-77,813904
66,162109	-82,554230
66,406250	-76,849770
66,650391	-75,546875
66,894531	-77,729263
67,138672	-76,955177
67,382813	-76,074150
67,626953	-74,074074
