Fréquence (Hz)	Niveau (dB)
0,244141	-97,062546
0,488281	-95,723488
0,732422	-92,906944
0,976563	-91,241333
1,220703	-93,225822
1,464844	-96,144958
1,708984	-91,863228
1,953125	-87,442856
2,197266	-87,061455
2,441406	-89,652596
2,685547	-87,412811
2,929688	-85,186584
3,173828	-84,887634
3,417969	-90,986191
3,662109	-89,289825
3,906250	-86,716423
4,150391	-82,580269
4,394531	-85,344177
4,638672	-86,855980
4,882813	-80,949387
5,126953	-81,927559
5,371094	-80,947021
5,615234	-81,857132
5,859375	-87,568779
6,103516	-81,663094
6,347656	-81,112877
6,591797	-80,839127
6,835938	-83,458725
7,080078	-81,059998
7,324219	-75,331421
7,568359	-74,876228
7,812500	-75,646172
8,056641	-73,322975
8,300781	-73,196205
8,544922	-78,425247
8,789063	-76,131943
9,033203	-77,613762
9,277344	-76,925323
9,521484	-79,219429
9,765625	-78,944809
10,009766	-77,179092
10,253906	-74,649345
10,498047	-75,417557
10,742188	-76,870598
10,986328	-75,187630
11,230469	-70,263672
11,474609	-70,730217
11,718750	-72,256119
11,962891	-73,479568
12,207031	-73,972328
12,451172	-71,907730
12,695313	-69,508949
12,939453	-66,023369
13,183594	-68,780701
13,427734	-71,837646
13,671875	-71,281250
13,916016	-73,107712
14,160156	-76,854973
14,404297	-74,520508
14,648438	-76,969040
14,892578	-73,106979
15,136719	-69,517746
15,380859	-69,080231
15,625000	-72,421303
15,869141	-72,310471
16,113281	-71,564735
16,357422	-69,280571
16,601563	-73,514725
16,845703	-71,085411
17,089844	-72,526489
17,333984	-74,049789
17,578125	-72,468788
17,822266	-68,574867
18,066406	-68,402657
18,310547	-68,471138
18,554688	-69,268883
18,798828	-69,977318
19,042969	-70,384216
19,287109	-73,746231
19,531250	-71,840958
19,775391	-74,122093
20,019531	-66,763847
20,263672	-70,838104
20,507813	-75,463394
20,751953	-75,716255
20,996094	-72,771355
21,240234	-71,805969
21,484375	-68,028992
21,728516	-68,152771
21,972656	-69,769485
22,216797	-69,772736
22,460938	-69,059898
22,705078	-73,832413
22,949219	-68,998192
23,193359	-67,883575
23,437500	-65,529106
23,681641	-66,470261
23,925781	-69,261192
24,169922	-74,013046
24,414063	-75,320534
24,658203	-70,423042
24,902344	-69,302780
25,146484	-75,708504
25,390625	-71,941238
25,634766	-74,434311
25,878906	-77,671982
26,123047	-75,724960
26,367188	-71,919228
26,611328	-67,947205
26,855469	-69,174690
27,099609	-68,130882
27,343750	-66,615974
27,587891	-68,773567
27,832031	-74,839813
28,076172	-69,233543
28,320313	-66,373741
28,564453	-69,203239
28,808594	-69,657623
29,052734	-69,831161
29,296875	-69,407486
29,541016	-67,108826
29,785156	-64,995895
30,029297	-67,557480
30,273438	-73,701347
30,517578	-77,918785
30,761719	-71,578011
31,005859	-69,366020
31,250000	-70,465828
31,494141	-70,958000
31,738281	-66,857681
31,982422	-68,271408
32,226563	-69,568275
32,470703	-67,038948
32,714844	-67,544434
32,958984	-67,579643
33,203125	-64,511078
33,447266	-65,016167
33,691406	-73,140610
33,935547	-69,621086
34,179688	-67,746902
34,423828	-73,934273
34,667969	-69,544594
34,912109	-72,069313
35,156250	-75,981194
35,400391	-72,844749
