Fréquence (Hz)	Niveau (dB)
0,244141	-103,897499
0,488281	-101,245796
0,732422	-100,227219
0,976563	-104,931297
1,220703	-97,433846
1,464844	-96,230072
1,708984	-96,596344
1,953125	-92,041214
2,197266	-92,495918
2,441406	-93,277878
2,685547	-92,984238
2,929688	-91,195488
3,173828	-91,981987
3,417969	-92,079994
3,662109	-88,294647
3,906250	-87,641869
4,150391	-87,821342
4,394531	-89,623535
4,638672	-95,716766
4,882813	-100,995438
5,126953	-98,832886
5,371094	-93,281296
5,615234	-87,613632
5,859375	-87,668335
6,103516	-90,138802
6,347656	-90,747658
6,591797	-93,373238
6,835938	-91,720154
7,080078	-93,523987
7,324219	-94,698204
7,568359	-96,780655
7,812500	-93,052132
8,056641	-91,625801
8,300781	-94,969574
8,544922	-95,943375
8,789063	-104,673454
9,033203	-95,529236
9,277344	-87,695938
9,521484	-85,154114
9,765625	-90,464745
10,009766	-87,520897
10,253906	-90,570862
10,498047	-89,295174
10,742188	-92,971436
10,986328	-93,676956
11,230469	-85,932724
11,474609	-84,340439
11,718750	-85,866295
11,962891	-85,367188
12,207031	-91,593658
12,451172	-87,287758
12,695313	-85,086052
12,939453	-85,062210
13,183594	-84,362701
13,427734	-86,059853
13,671875	-87,711021
13,916016	-89,204384
14,160156	-84,866669
14,404297	-87,609375
14,648438	-95,486389
14,892578	-88,758621
15,136719	-90,424385
15,380859	-96,017670
15,625000	-95,776634
15,869141	-90,922829
16,113281	-89,331345
16,357422	-87,012810
16,601563	-81,951149
16,845703	-82,892914
17,089844	-85,420586
17,333984	-88,272827
17,578125	-86,846916
17,822266	-87,950439
18,066406	-91,084045
18,310547	-88,433632
18,554688	-89,379936
18,798828	-83,358025
19,042969	-85,414047
19,287109	-80,181839
19,531250	-81,481804
19,775391	-83,903305
20,019531	-82,818031
20,263672	-82,844299
20,507813	-87,152534
20,751953	-83,703201
20,996094	-85,344734
21,240234	-82,263702
21,484375	-83,737953
21,728516	-84,949089
21,972656	-83,936386
22,216797	-94,364182
22,460938	-82,701988
22,705078	-84,936256
22,949219	-89,924843
23,193359	-89,437424
23,437500	-83,801300
23,681641	-83,678619
23,925781	-86,148621
24,169922	-85,875900
24,414063	-87,706306
24,658203	-86,261528
24,902344	-84,415985
25,146484	-82,708855
25,390625	-83,295364
25,634766	-80,900375
25,878906	-82,760536
26,123047	-76,647751
26,367188	-79,886803
26,611328	-85,811218
26,855469	-82,991898
27,099609	-85,859917
27,343750	-81,575279
27,587891	-81,345291
27,832031	-81,279587
28,076172	-77,914406
28,320313	-80,251961
28,564453	-84,567200
28,808594	-81,373940
29,052734	-79,916000
29,296875	-79,629585
29,541016	-82,641838
29,785156	-82,538467
30,029297	-78,510063
30,273438	-77,304657
30,517578	-80,026604
30,761719	-82,026817
31,005859	-87,265656
31,250000	-82,176315
31,494141	-79,410316
31,738281	-77,642418
31,982422	-78,987541
32,226563	-86,420593
32,470703	-84,578339
32,714844	-83,398048
32,958984	-85,732605
33,203125	-84,844086
33,447266	-82,506462
33,691406	-78,122574
33,935547	-76,298561
34,179688	-80,698143
34,423828	-87,674957
34,667969	-81,547363
34,912109	-79,128052
35,156250	-82,741806
35,400391	-91,034317
35,644531	-95,872353
35,888672	-83,878632
36,132813	-78,640495
36,376953	-77,834465
36,621094	-80,632736
36,865234	-82,873871
37,109375	-82,219002
37,353516	-93,207924
37,597656	-86,517715
37,841797	-91,356293
38,085938	-87,040497
38,330078	-85,652985
38,574219	-84,598419
38,818359	-87,301437
39,062500	-85,181160
39,306641	-90,088989
39,550781	-87,236824
39,794922	-90,512024
40,039063	-83,526138
40,283203	-85,184494
40,527344	-85,992378
40,771484	-88,396217
41,015625	-92,274796
41,259766	-83,231705
41,503906	-84,040764
41,748047	-88,201050
41,992188	-88,582214
42,236328	-90,942863
42,480469	-90,730904
42,724609	-85,114548
42,968750	-82,142685
43,212891	-84,516716
43,457031	-91,632645
43,701172	-91,902321
43,945313	-90,366508
44,189453	-87,259972
44,433594	-87,466225
44,677734	-90,230637
44,921875	-91,915527
45,166016	-93,680374
45,410156	-96,413040
45,654297	-94,925980
45,898438	-89,065323
46,142578	-87,223480
46,386719	-91,362907
46,630859	-91,092316
46,875000	-96,888603
47,119141	-92,877220
47,363281	-90,617126
47,607422	-88,268944
47,851563	-91,371033
48,095703	-92,290855
48,339844	-94,410728
48,583984	-95,995041
48,828125	-98,976723
49,072266	-95,389343
49,316406	-96,185097
49,560547	-95,663712
49,804688	-94,896103
50,048828	-95,037987
50,292969	-97,632027
50,537109	-99,083664
50,781250	-103,166222
51,025391	-99,549355
51,269531	-99,674988
51,513672	-99,685257
51,757813	-98,180565
52,001953	-95,017960
52,246094	-92,854286
52,490234	-92,556892
52,734375	-95,871132
52,978516	-100,282974
53,222656	-101,703369
53,466797	-98,639824
53,710938	-95,906464
53,955078	-102,884216
54,199219	-94,075378
54,443359	-94,800980
54,687500	-98,926292
54,931641	-91,603294
55,175781	-90,783928
55,419922	-89,337372
55,664063	-89,046921
55,908203	-89,437599
56,152344	-95,858253
56,396484	-98,576645
56,640625	-89,336411
56,884766	-89,262917
57,128906	-94,088753
57,373047	-87,912163
57,617188	-87,619759
57,861328	-87,930931
58,105469	-86,972092
58,349609	-89,935326
58,593750	-98,310478
58,837891	-88,730110
59,082031	-85,238754
59,326172	-84,448814
59,570313	-86,399612
59,814453	-86,771591
60,058594	-88,365166
60,302734	-85,242516
60,546875	-87,296326
60,791016	-93,427940
61,035156	-90,314102
61,279297	-86,718224
61,523438	-84,837700
61,767578	-86,704956
62,011719	-82,102776
62,255859	-76,522858
62,500000	-78,425446
62,744141	-75,008873
62,988281	-73,417839
63,232422	-82,373993
63,476563	-81,354706
63,720703	-77,173645
63,964844	-75,493896
64,208984	-76,985939
64,453125	-80,031151
64,697266	-77,883392
64,941406	-74,946617
65,185547	-76,580612
65,429688	-76,305794
65,673828	-76,793648
65,917969	-76,713142
66,162109	-82,175819
66,406250	-76,598755
66,650391	-75,924980
66,894531	-76,281342
67,138672	-73,852898
67,382813	-79,875160
67,626953	-75,840729
67,871094	-75,297440
68,115234	-85,465355
68,359375	-78,647850
68,603516	-76,234665
68,847656	-76,920555
69,091797	-85,074921
69,335938	-81,243256
69,580078	-74,101471
69,824219	-76,783562
70,068359	-78,482376
70,312500	-80,235748
70,556641	-77,061035
70,800781	-70,683426
71,044922	-71,081215
71,289063	-75,531631
71,533203	-72,431755
71,777344	-72,038620
72,021484	-76,237816
72,265625	-76,369095
72,509766	-78,444786
72,753906	-80,303169
72,998047	-83,790565
73,242188	-73,336525
73,486328	-75,273834
73,730469	-77,987419
73,974609	-72,347801
74,218750	-68,491219
74,462891	-70,515030
74,707031	-73,927528
74,951172	-77,678474
75,195313	-70,400925
75,439453	-67,520325
75,683594	-72,759697
75,927734	-75,450226
76,171875	-72,339142
76,416016	-77,523911
76,660156	-72,948036
76,904297	-70,813362
77,148438	-71,017761
77,392578	-74,970390
77,636719	-72,237389
77,880859	-72,680031
78,125000	-79,326187
78,369141	-74,884277
78,613281	-68,636009
78,857422	-70,935226
79,101563	-79,582832
79,345703	-72,472778
79,589844	-69,630920
79,833984	-69,035713
80,078125	-71,774551
80,322266	-69,082703
80,566406	-67,567307
80,810547	-72,879349
81,054688	-66,877640
81,298828	-64,374947
81,542969	-65,189354
81,787109	-67,821815
82,031250	-70,118690
82,275391	-69,968384
82,519531	-67,682961
82,763672	-68,104706
83,007813	-72,442886
83,251953	-70,399300
83,496094	-68,693588
83,740234	-68,904243
83,984375	-68,003044
84,228516	-63,812477
84,472656	-68,264000
84,716797	-70,927132
84,960938	-64,308617
85,205078	-63,887657
85,449219	-69,074913
85,693359	-64,262093
85,937500	-63,751408
86,181641	-65,178917
86,425781	-66,903229
86,669922	-68,966125
86,914063	-72,147865
87,158203	-67,609100
87,402344	-63,072861
87,646484	-65,414001
87,890625	-70,632843
88,134766	-68,389854
88,378906	-64,003326
88,623047	-62,722153
88,867188	-62,638428
89,111328	-62,715015
89,355469	-64,738045
89,599609	-67,221260
89,843750	-64,964134
90,087891	-62,996201
90,332031	-64,418716
90,576172	-70,897545
90,820313	-64,896553
91,064453	-63,680828
91,308594	-61,934372
91,552734	-64,833313
91,796875	-69,800026
92,041016	-76,413063
