Fréquence (Hz)	Niveau (dB)
0,244141	-107,216034
0,488281	-103,864777
0,732422	-101,076889
0,976563	-99,359322
1,220703	-104,081627
1,464844	-96,583069
1,708984	-102,335915
1,953125	-102,717949
2,197266	-93,425201
2,441406	-90,963264
2,685547	-91,438301
2,929688	-97,473267
3,173828	-95,230904
3,417969	-92,054703
3,662109	-94,435638
3,906250	-92,314362
4,150391	-89,432465
4,394531	-92,715080
4,638672	-99,066757
4,882813	-97,859810
5,126953	-99,316505
5,371094	-99,305603
5,615234	-94,190186
5,859375	-90,035088
6,103516	-88,822571
6,347656	-91,353920
6,591797	-92,008339
6,835938	-93,253143
7,080078	-94,278641
7,324219	-101,477654
7,568359	-95,958008
7,812500	-90,955879
8,056641	-92,459335
8,300781	-96,606636
8,544922	-88,632675
8,789063	-88,565804
9,033203	-88,006874
9,277344	-86,199219
9,521484	-88,684784
9,765625	-92,077873
10,009766	-104,395828
10,253906	-92,088570
10,498047	-90,200356
10,742188	-92,796829
10,986328	-89,723618
11,230469	-96,717461
11,474609	-89,538849
11,718750	-90,038109
11,962891	-90,023087
12,207031	-86,013962
12,451172	-90,827507
12,695313	-89,832573
12,939453	-84,915756
13,183594	-85,536423
13,427734	-87,061287
13,671875	-87,481857
13,916016	-91,726929
14,160156	-90,775536
14,404297	-87,415268
14,648438	-89,074478
14,892578	-88,722145
15,136719	-87,629875
15,380859	-92,707718
15,625000	-89,931099
15,869141	-88,007095
16,113281	-90,237206
16,357422	-90,391075
16,601563	-89,321846
16,845703	-89,119362
17,089844	-83,636177
17,333984	-83,424217
17,578125	-84,083794
17,822266	-83,375076
18,066406	-85,663132
18,310547	-83,719925
18,554688	-83,453865
18,798828	-98,579376
19,042969	-84,507416
19,287109	-85,693550
19,531250	-91,007751
19,775391	-84,601669
20,019531	-85,601295
20,263672	-88,973541
20,507813	-88,108307
20,751953	-86,455437
20,996094	-88,483047
21,240234	-84,543137
21,484375	-79,674332
21,728516	-79,441658
21,972656	-84,478676
22,216797	-87,766563
22,460938	-80,958038
22,705078	-81,073441
22,949219	-89,087166
23,193359	-83,982613
23,437500	-80,026054
23,681641	-82,239388
23,925781	-82,158432
24,169922	-81,338158
24,414063	-86,039589
24,658203	-87,539970
24,902344	-81,232162
25,146484	-80,613800
25,390625	-81,261551
25,634766	-87,252823
25,878906	-87,812096
26,123047	-85,821236
26,367188	-80,392204
26,611328	-80,291176
26,855469	-86,140121
27,099609	-93,333839
27,343750	-85,021660
27,587891	-87,899033
27,832031	-88,555061
28,076172	-87,016624
28,320313	-81,378059
28,564453	-82,117683
28,808594	-79,854332
29,052734	-81,150169
29,296875	-85,293648
29,541016	-84,974724
29,785156	-84,661003
30,029297	-81,305092
30,273438	-83,365738
30,517578	-85,852913
30,761719	-80,837448
31,005859	-83,702164
31,250000	-90,294556
31,494141	-85,188721
31,738281	-81,682159
31,982422	-83,442261
32,226563	-83,818542
32,470703	-84,561447
32,714844	-83,478249
32,958984	-82,934036
33,203125	-87,778633
33,447266	-91,714409
33,691406	-88,685730
33,935547	-86,426865
34,179688	-86,984596
34,423828	-102,396355
34,667969	-86,491173
34,912109	-84,805878
35,156250	-82,125343
35,400391	-95,278877
35,644531	-88,370255
35,888672	-85,137543
36,132813	-89,310837
36,376953	-95,070160
36,621094	-87,503784
36,865234	-89,102432
37,109375	-86,652039
37,353516	-85,917679
37,597656	-85,349594
37,841797	-82,983597
38,085938	-88,524467
38,330078	-82,269112
38,574219	-82,176941
38,818359	-85,381973
39,062500	-88,271835
39,306641	-85,771339
39,550781	-83,812439
39,794922	-87,114861
40,039063	-85,069496
40,283203	-83,741203
40,527344	-85,308357
40,771484	-87,874992
41,015625	-90,497536
41,259766	-88,563156
41,503906	-85,091171
41,748047	-82,131332
41,992188	-84,264145
42,236328	-90,877098
42,480469	-94,250626
42,724609	-94,024277
42,968750	-90,017250
43,212891	-91,400360
43,457031	-91,974510
43,701172	-93,065117
43,945313	-86,930222
44,189453	-85,829483
44,433594	-90,291481
44,677734	-92,055153
44,921875	-94,911766
45,166016	-92,394600
45,410156	-86,718262
45,654297	-86,686401
45,898438	-88,163620
46,142578	-88,689819
46,386719	-88,012932
46,630859	-91,097710
46,875000	-88,963074
47,119141	-87,482170
47,363281	-91,008469
47,607422	-95,447136
47,851563	-102,429329
48,095703	-96,434624
48,339844	-93,336281
48,583984	-96,813507
48,828125	-94,362572
49,072266	-98,212242
49,316406	-92,404022
49,560547	-95,228081
49,804688	-102,294914
50,048828	-100,389290
50,292969	-103,089607
50,537109	-100,466675
50,781250	-96,163864
51,025391	-103,982971
51,269531	-106,123131
51,513672	-104,720718
51,757813	-99,301476
52,001953	-99,984695
52,246094	-99,810997
52,490234	-96,082954
52,734375	-108,825020
52,978516	-100,206757
53,222656	-97,011299
53,466797	-99,901436
53,710938	-97,874641
53,955078	-95,329697
54,199219	-92,219994
54,443359	-90,757141
54,687500	-92,141655
54,931641	-90,432953
55,175781	-90,274796
55,419922	-90,164375
55,664063	-92,227814
55,908203	-89,902435
56,152344	-90,917023
56,396484	-90,515427
56,640625	-88,665512
56,884766	-88,104263
57,128906	-97,178795
57,373047	-93,096596
57,617188	-90,375862
57,861328	-85,562759
58,105469	-85,958740
58,349609	-91,701408
58,593750	-95,158134
58,837891	-89,762794
59,082031	-84,536346
59,326172	-84,149788
59,570313	-85,837479
59,814453	-85,465965
60,058594	-86,447960
60,302734	-84,587463
60,546875	-81,533791
60,791016	-80,938103
61,035156	-83,712662
61,279297	-84,662430
61,523438	-81,439171
61,767578	-80,712448
62,011719	-82,886391
62,255859	-76,197906
62,500000	-76,910568
62,744141	-78,324524
62,988281	-78,649994
63,232422	-81,737595
63,476563	-83,848801
63,720703	-81,101593
63,964844	-81,075523
64,208984	-79,506935
64,453125	-80,230621
64,697266	-82,014923
64,941406	-85,192032
65,185547	-80,457001
65,429688	-82,926514
65,673828	-79,834709
65,917969	-75,953423
66,162109	-77,065010
66,406250	-77,504112
66,650391	-84,109512
66,894531	-78,545273
67,138672	-72,770836
67,382813	-73,442871
67,626953	-77,100044
67,871094	-82,653336
