Fréquence (Hz)	Niveau (dB)
2,691650	-59,907730
5,383301	-56,778305
8,074951	-55,714561
10,766602	-54,640438
13,458252	-54,665421
16,149902	-55,638515
18,841553	-56,724621
21,533203	-57,167126
24,224854	-56,757729
26,916504	-57,625908
29,608154	-58,620705
32,299805	-58,093632
34,991455	-59,154030
37,683105	-59,590729
40,374756	-61,213684
43,066406	-63,271679
45,758057	-66,619217
48,449707	-71,166786
51,141357	-76,575188
53,833008	-74,366661
56,524658	-67,167358
59,216309	-62,453186
61,907959	-60,163330
64,599609	-57,678711
67,291260	-55,065407
69,982910	-53,373428
72,674561	-51,549175
75,366211	-50,407146
78,057861	-49,650482
80,749512	-48,362892
83,441162	-47,445385
86,132813	-45,641357
88,824463	-45,958569
91,516113	-45,850101
94,207764	-45,199799
96,899414	-43,280468
99,591064	-42,140591
102,282715	-43,208103
104,974365	-43,955627
107,666016	-42,532791
110,357666	-41,953026
113,049316	-41,799545
115,740967	-40,874771
118,432617	-40,751892
121,124268	-41,408985
123,815918	-41,535995
126,507568	-41,273125
129,199219	-41,319019
131,890869	-41,234924
134,582520	-41,686184
137,274170	-41,883156
139,965820	-42,056301
142,657471	-41,796158
145,349121	-41,447823
148,040771	-41,914547
150,732422	-42,010132
153,424072	-41,842884
156,115723	-43,171478
158,807373	-41,543903
161,499023	-41,868214
164,190674	-41,775558
166,882324	-41,941086
169,573975	-41,303616
172,265625	-39,453117
174,957275	-41,096851
177,648926	-42,333553
180,340576	-41,829689
183,032227	-43,297874
185,723877	-42,113503
188,415527	-41,352936
191,107178	-42,116379
193,798828	-41,439213
196,490479	-42,704128
199,182129	-42,596859
201,873779	-42,925121
204,565430	-43,021469
207,257080	-42,857399
209,948730	-41,318142
212,640381	-41,395161
215,332031	-42,570339
218,023682	-43,047421
220,715332	-43,521160
223,406982	-43,642300
226,098633	-43,410454
228,790283	-43,494804
231,481934	-44,219574
234,173584	-43,592533
236,865234	-42,954319
239,556885	-42,352745
242,248535	-43,767262
244,940186	-42,523548
247,631836	-42,236912
250,323486	-43,119980
253,015137	-44,351788
255,706787	-43,920620
258,398438	-43,294353
261,090088	-43,858829
263,781738	-43,867279
266,473389	-43,847561
269,165039	-44,305302
271,856689	-43,723877
274,548340	-43,707249
277,239990	-43,785358
279,931641	-43,401390
282,623291	-42,690678
285,314941	-44,571632
288,006592	-44,812130
290,698242	-43,290348
293,389893	-44,202038
296,081543	-44,496094
298,773193	-43,119423
301,464844	-42,558678
304,156494	-43,548439
306,848145	-43,742901
309,539795	-45,233276
312,231445	-45,484760
314,923096	-44,070599
317,614746	-44,546642
320,306396	-45,114109
322,998047	-44,282524
325,689697	-44,442490
328,381348	-45,597809
331,072998	-46,253708
333,764648	-45,129166
336,456299	-44,627060
339,147949	-44,967587
341,839600	-45,125111
344,531250	-45,852287
347,222900	-44,904961
349,914551	-45,042870
352,606201	-45,387169
355,297852	-44,568081
357,989502	-44,054749
360,681152	-44,064449
363,372803	-44,068665
366,064453	-44,887630
368,756104	-44,124676
371,447754	-44,857239
374,139404	-44,482418
376,831055	-44,237671
379,522705	-43,917511
382,214355	-43,333138
384,906006	-43,902599
387,597656	-43,760181
390,289307	-44,133060
392,980957	-44,085796
395,672607	-44,958614
398,364258	-44,419285
401,055908	-44,696095
403,747559	-43,775257
406,439209	-45,077080
409,130859	-45,516640
411,822510	-45,262630
414,514160	-44,941990
417,205811	-43,493111
419,897461	-43,933907
422,589111	-44,602608
425,280762	-44,517143
427,972412	-44,561352
430,664063	-43,554585
433,355713	-43,383682
436,047363	-27,527864
438,739014	-14,326870
441,430664	-14,429517
444,122314	-28,406809
446,813965	-41,813400
449,505615	-44,345459
452,197266	-39,996578
454,888916	-40,707584
457,580566	-45,247704
460,272217	-45,566952
462,963867	-45,717922
465,655518	-44,391563
468,347168	-44,521854
471,038818	-44,866318
473,730469	-45,799068
476,422119	-45,628990
479,113770	-44,582611
481,805420	-44,859898
484,497070	-45,388165
487,188721	-45,072571
489,880371	-45,029465
492,572021	-45,006756
495,263672	-46,152763
497,955322	-45,459522
500,646973	-44,551136
503,338623	-44,745525
506,030273	-45,435360
508,721924	-45,333984
511,413574	-45,895378
514,105225	-45,874527
516,796875	-45,821148
519,488525	-46,725525
522,180176	-46,022446
524,871826	-45,533390
527,563477	-45,561028
530,255127	-44,248615
532,946777	-45,167000
535,638428	-45,218643
538,330078	-45,413914
541,021729	-46,529102
543,713379	-45,692101
546,405029	-45,878170
549,096680	-45,533283
551,788330	-47,263149
554,479980	-47,607098
557,171631	-48,229984
559,863281	-47,561256
562,554932	-46,678761
565,246582	-46,801460
567,938232	-45,944878
570,629883	-45,582260
573,321533	-45,554447
576,013184	-46,525867
578,704834	-47,711323
581,396484	-46,456287
584,088135	-45,845367
586,779785	-45,999561
589,471436	-46,083168
592,163086	-46,119358
594,854736	-46,134430
597,546387	-46,140442
600,238037	-46,794689
602,929688	-45,550499
605,621338	-46,488590
608,312988	-47,008072
611,004639	-46,849911
613,696289	-46,611282
616,387939	-46,172417
619,079590	-46,676071
621,771240	-46,553459
624,462891	-46,584251
627,154541	-46,323254
629,846191	-47,341408
632,537842	-47,263916
635,229492	-46,128689
637,921143	-46,670746
640,612793	-45,386066
643,304443	-45,699368
645,996094	-45,924355
648,687744	-45,803665
651,379395	-46,570641
654,071045	-46,703556
656,762695	-45,966290
659,454346	-46,264317
662,145996	-45,775101
664,837646	-45,624954
667,529297	-47,193527
670,220947	-46,227757
672,912598	-46,097965
675,604248	-46,197678
678,295898	-46,956261
680,987549	-46,759636
683,679199	-45,380539
