Fréquence (Hz)	Niveau (dB)
0,244141	-106,948212
0,488281	-114,663231
0,732422	-105,816193
0,976563	-101,062729
1,220703	-97,977440
1,464844	-105,489410
1,708984	-102,288506
1,953125	-93,181458
2,197266	-101,831703
2,441406	-95,670212
2,685547	-95,049232
2,929688	-94,734665
3,173828	-95,567291
3,417969	-90,622643
3,662109	-94,731888
3,906250	-93,560616
4,150391	-89,176819
4,394531	-90,543137
4,638672	-94,955971
4,882813	-94,879845
5,126953	-99,589676
5,371094	-97,940575
5,615234	-93,525856
5,859375	-94,177528
6,103516	-90,509171
6,347656	-90,283035
6,591797	-92,637398
6,835938	-88,375175
7,080078	-92,111443
7,324219	-92,100075
7,568359	-94,924393
7,812500	-95,596352
8,056641	-93,700333
8,300781	-97,480087
8,544922	-93,561798
8,789063	-88,666916
9,033203	-89,522125
9,277344	-92,036842
9,521484	-88,231903
9,765625	-87,162537
10,009766	-89,560623
10,253906	-97,916496
10,498047	-92,615372
10,742188	-93,328018
10,986328	-95,165436
11,230469	-92,156639
11,474609	-92,190323
11,718750	-92,738411
11,962891	-97,488823
12,207031	-94,465683
12,451172	-91,638260
12,695313	-97,010925
12,939453	-98,371880
13,183594	-90,103973
13,427734	-91,619987
13,671875	-91,701393
13,916016	-90,492737
14,160156	-90,778229
14,404297	-90,374588
14,648438	-96,729019
14,892578	-93,469337
15,136719	-92,912003
15,380859	-90,794983
15,625000	-89,390564
15,869141	-89,423759
16,113281	-89,071777
16,357422	-96,693359
16,601563	-89,430862
16,845703	-89,897339
17,089844	-94,385574
17,333984	-97,244743
17,578125	-90,813889
17,822266	-91,732887
18,066406	-89,864044
18,310547	-92,466866
18,554688	-90,299484
18,798828	-89,768387
19,042969	-91,279037
19,287109	-96,655472
19,531250	-96,227966
19,775391	-90,537132
20,019531	-90,198090
20,263672	-97,585556
20,507813	-105,018150
20,751953	-93,516655
20,996094	-91,180344
21,240234	-94,970169
21,484375	-96,735497
21,728516	-94,351830
21,972656	-91,329254
22,216797	-90,604668
22,460938	-91,776619
22,705078	-100,873878
22,949219	-90,799263
23,193359	-89,116142
23,437500	-89,521172
23,681641	-87,612747
23,925781	-98,514015
24,169922	-91,568405
24,414063	-93,728745
24,658203	-89,744553
24,902344	-92,451752
25,146484	-95,709518
25,390625	-95,135529
25,634766	-98,646492
25,878906	-93,765884
26,123047	-91,724457
26,367188	-90,285400
26,611328	-93,233910
26,855469	-93,408508
27,099609	-90,993927
27,343750	-91,362633
27,587891	-93,247505
27,832031	-97,976173
28,076172	-98,622635
28,320313	-89,974976
28,564453	-86,113365
28,808594	-87,115334
29,052734	-92,771812
29,296875	-91,440552
29,541016	-93,497047
29,785156	-96,395622
30,029297	-91,937225
30,273438	-91,768471
30,517578	-96,805946
30,761719	-99,197136
31,005859	-101,557686
31,250000	-104,713997
31,494141	-99,233238
31,738281	-94,186081
31,982422	-96,893684
32,226563	-94,909714
32,470703	-90,754631
32,714844	-90,534378
32,958984	-89,845490
33,203125	-93,150513
33,447266	-94,839745
33,691406	-95,994827
33,935547	-92,928551
34,179688	-90,494347
34,423828	-96,101212
34,667969	-96,704552
34,912109	-96,355179
35,156250	-93,796944
35,400391	-94,793991
35,644531	-96,244637
35,888672	-99,873367
36,132813	-94,903343
36,376953	-98,261482
36,621094	-100,258217
36,865234	-91,944405
37,109375	-93,069679
37,353516	-96,652878
37,597656	-97,548767
37,841797	-95,229027
38,085938	-98,067596
38,330078	-97,358894
38,574219	-93,964371
38,818359	-95,081108
39,062500	-97,188446
39,306641	-101,044952
39,550781	-98,063354
39,794922	-94,966835
40,039063	-93,542068
40,283203	-93,483047
40,527344	-102,119141
40,771484	-105,392136
41,015625	-106,548691
41,259766	-102,101891
41,503906	-98,052483
41,748047	-101,709267
41,992188	-97,056763
42,236328	-94,978142
42,480469	-97,998619
42,724609	-100,955048
42,968750	-105,027245
43,212891	-99,219810
43,457031	-102,911377
43,701172	-105,743462
43,945313	-101,440521
44,189453	-101,838921
44,433594	-106,845589
44,677734	-104,898888
44,921875	-105,169533
45,166016	-106,022034
45,410156	-110,611755
45,654297	-113,048958
45,898438	-105,906044
46,142578	-99,731506
46,386719	-97,960991
46,630859	-102,228127
