Fréquence (Hz)	Niveau (dB)
7,812500	-51,815411
15,625000	-51,419907
23,437500	-49,824444
31,250000	-52,224918
39,062500	-65,893959
46,875000	-71,171478
54,687500	-61,929260
62,500000	-56,303814
70,312500	-53,840672
78,125000	-56,404881
85,937500	-43,744301
93,750000	-43,814121
101,562500	-39,096992
109,375000	-35,687290
117,187500	-39,108013
125,000000	-38,176003
132,812500	-40,925755
140,625000	-37,698879
148,437500	-34,579231
156,250000	-34,284328
164,062500	-37,285706
171,875000	-37,108566
179,687500	-37,153519
187,500000	-27,827314
195,312500	-12,318501
203,125000	-10,078383
210,937500	-20,248604
218,750000	-41,792824
226,562500	-39,843311
234,375000	-36,736603
242,187500	-36,018127
250,000000	-38,689224
257,812500	-41,786243
265,625000	-40,482098
273,437500	-52,470413
281,250000	-44,197403
289,062500	-43,447670
296,875000	-37,654377
304,687500	-46,555523
312,500000	-62,159119
320,312500	-42,278324
328,125000	-38,212906
335,937500	-36,914242
343,750000	-37,450699
351,562500	-45,267029
359,375000	-42,299759
367,187500	-43,118225
375,000000	-36,145107
382,812500	-38,939793
390,625000	-50,670284
398,437500	-45,813049
406,250000	-47,938995
414,062500	-45,432671
421,875000	-47,597263
429,687500	-45,545094
437,500000	-44,660789
445,312500	-56,981579
453,125000	-56,611713
460,937500	-43,749451
468,750000	-40,804256
476,562500	-44,712978
484,375000	-43,138390
492,187500	-42,941498
500,000000	-44,359982
507,812500	-48,705868
515,625000	-42,449608
523,437500	-38,757866
531,250000	-50,645542
539,062500	-47,995049
546,875000	-46,784916
554,687500	-43,305122
562,500000	-43,385387
570,312500	-40,592484
578,125000	-44,440090
585,937500	-47,306541
593,750000	-26,732090
601,562500	-19,875952
609,375000	-24,797466
617,187500	-48,270817
625,000000	-52,694504
632,812500	-47,667164
640,625000	-47,607521
648,437500	-44,454559
656,250000	-45,111633
664,062500	-41,544003
671,875000	-40,187561
679,687500	-50,846874
687,500000	-47,713512
695,312500	-42,425030
703,125000	-41,650181
710,937500	-49,297256
718,750000	-54,501564
726,562500	-49,059723
734,375000	-46,771229
742,187500	-44,426369
750,000000	-45,874622
757,812500	-45,657448
765,625000	-44,518906
773,437500	-38,369122
781,250000	-37,647038
789,062500	-65,542305
796,875000	-39,482845
804,687500	-43,143738
812,500000	-44,584438
820,312500	-53,330231
828,125000	-45,060116
835,937500	-47,115417
843,750000	-39,731041
851,562500	-39,869755
859,375000	-53,033699
867,187500	-41,992233
875,000000	-39,920700
882,812500	-42,832573
890,625000	-43,198551
898,437500	-41,720837
906,250000	-44,742363
914,062500	-43,444687
921,875000	-52,517921
929,687500	-36,524509
937,500000	-35,459564
945,312500	-40,340755
953,125000	-39,686378
960,937500	-43,116272
968,750000	-50,286488
976,562500	-46,439690
984,375000	-38,628136
992,187500	-38,286030
1000,000000	-21,665138
1007,812500	-21,602612
1015,625000	-34,938782
1023,437500	-51,090591
1031,250000	-43,534260
1039,062500	-46,468399
1046,875000	-47,788109
1054,687500	-41,908840
1062,500000	-42,911427
1070,312500	-48,171993
1078,125000	-45,089283
1085,937500	-47,148727
