Fréquence (Hz)	Niveau (dB)
0,976563	-48,542099
1,953125	-45,008877
2,929688	-42,174992
3,90625	-42,278645
4,882813	-41,559021
5,859375	-39,221527
6,835938	-40,283127
7,8125	-41,838093
8,789063	-43,173183
9,765625	-42,522911
10,742188	-41,580315
11,71875	-41,003662
12,695313	-40,337132
13,671875	-39,532185
14,648438	-41,808262
15,625	-43,661385
16,601563	-42,829491
17,578125	-40,612736
18,554688	-41,710953
19,53125	-41,993656
20,507813	-44,469898
21,484375	-44,343849
22,460938	-43,98431
23,4375	-43,664654
24,414063	-40,698036
25,390625	-40,768978
26,367188	-43,509823
27,34375	-43,359303
28,320313	-43,647804
29,296875	-43,016357
30,273438	-45,695812
31,25	-44,865971
32,226563	-45,579399
33,203125	-47,512402
34,179688	-45,166084
35,15625	-45,70084
36,132813	-44,012196
37,109375	-43,396168
38,085938	-46,009094
39,0625	-47,270687
40,039063	-46,840462
41,015625	-44,163242
41,992188	-45,151749
42,96875	-45,068916
43,945313	-46,504211
44,921875	-47,551968
45,898438	-46,403023
46,875	-50,345432
47,851563	-47,026588
48,828125	-48,058872
49,804688	-49,861916
50,78125	-49,687756
51,757813	-48,481789
52,734375	-45,7085
53,710938	-50,68309
54,6875	-53,995255
55,664063	-50,911213
56,640625	-46,421497
57,617188	-45,590584
58,59375	-47,977448
59,570313	-45,547974
60,546875	-44,891224
61,523438	-46,474937
62,5	-47,49876
63,476563	-44,533154
64,453125	-42,789379
65,429688	-43,576553
66,40625	-45,163471
67,382813	-44,120632
68,359375	-41,996651
69,335938	-42,67186
70,3125	-43,631958
71,289063	-42,405312
72,265625	-39,595425
73,242188	-39,213764
74,21875	-40,115192
75,195313	-40,161732
76,171875	-39,847694
77,148438	-38,859505
78,125	-37,683136
79,101563	-39,760509
80,078125	-36,724163
81,054688	-34,581558
82,03125	-36,625484
83,007813	-34,711342
83,984375	-34,277218
84,960938	-35,915447
85,9375	-35,340549
86,914063	-37,494881
87,890625	-35,506966
88,867188	-33,746433
89,84375	-32,184723
90,820313	-31,561922
91,796875	-34,762157
92,773438	-35,980957
93,75	-35,411785
94,726563	-34,436638
95,703125	-32,298531
96,679688	-31,324509
97,65625	-33,855568
98,632813	-31,93544
99,609375	-29,490629
100,585938	-30,371021
101,5625	-32,149914
102,539063	-32,045525
103,515625	-31,652588
104,492188	-30,838722
105,46875	-31,238014
106,445313	-31,631802
107,421875	-30,715027
108,398438	-29,771343
109,375	-29,652412
110,351563	-31,943668
111,328125	-31,665583
112,304688	-31,108242
113,28125	-29,359262
114,257813	-31,796932
115,234375	-30,638977
116,210938	-29,744919
117,1875	-30,645531
118,164063	-29,240824
119,140625	-29,922905
120,117188	-32,503792
121,09375	-29,815386
122,070313	-28,925545
123,046875	-29,135658
124,023438	-28,185648
125	-29,339417
125,976563	-30,39953
126,953125	-30,787811
127,929688	-30,900494
128,90625	-29,641327
129,882813	-29,350729
130,859375	-32,855766
131,835938	-29,734402
132,8125	-30,990618
133,789063	-29,896538
134,765625	-31,844593
135,742188	-32,776707
136,71875	-30,000422
137,695313	-29,95616
138,671875	-29,824486
139,648438	-27,915024
140,625	-29,106512
141,601563	-31,18685
142,578125	-30,9359
143,554688	-30,035135
144,53125	-30,615269
145,507813	-31,925894
146,484375	-32,252003
147,460938	-32,374866
148,4375	-31,457853
149,414063	-29,464777
150,390625	-29,344843
151,367188	-29,993727
152,34375	-28,060553
153,320313	-29,139721
154,296875	-30,684242
155,273438	-29,162397
156,25	-28,55481
157,226563	-29,556324
158,203125	-29,663704
159,179688	-30,389893
160,15625	-28,163811
161,132813	-28,864691
162,109375	-32,162159
163,085938	-30,343412
164,0625	-31,890495
165,039063	-29,90152
166,015625	-28,863194
166,992188	-30,979092
167,96875	-28,917471
168,945313	-31,014854
169,921875	-30,517906
170,898438	-28,635599
171,875	-29,965982
172,851563	-28,968266
173,828125	-30,491732
174,804688	-32,607918
175,78125	-33,247261
176,757813	-31,54208
177,734375	-29,826111
178,710938	-28,400866
179,6875	-28,601387
180,664063	-27,389486
181,640625	-27,768341
182,617188	-28,500191
183,59375	-28,183161
184,570313	-30,164618
185,546875	-28,989878
186,523438	-30,301411
187,5	-28,733103
188,476563	-27,326735
189,453125	-28,752129
190,429688	-28,380402
191,40625	-26,642941
192,382813	-23,163778
193,359375	-22,876024
194,335938	-25,754372
195,3125	-26,54253
196,289063	-23,124338
197,265625	-16,350088
198,242188	-16,250349
199,21875	-11,202507
200,195313	-1,744918
201,171875	0,412226
202,148438	-6,329536
203,125	-14,599544
204,101563	-18,331039
205,078125	-20,477514
206,054688	-23,63505
207,03125	-23,863457
208,007813	-24,037815
208,984375	-23,867908
209,960938	-27,37956
210,9375	-29,427895
211,914063	-30,33095
