Fréquence (Hz)	Niveau (dB)
3,906250	-87,254318
7,812500	-79,211861
11,718750	-77,242912
15,625000	-79,433563
19,531250	-77,689217
23,437500	-77,656776
27,343750	-80,091064
31,250000	-83,442734
35,156250	-89,173004
39,062500	-85,631592
42,968750	-90,761230
46,875000	-96,161942
50,781250	-99,032143
54,687500	-91,316406
58,593750	-82,996407
62,500000	-79,512650
66,406250	-79,695877
70,312500	-78,009377
74,218750	-74,927757
78,125000	-70,406013
82,031250	-70,625938
85,937500	-76,449638
89,843750	-67,450989
93,750000	-66,023201
97,656250	-70,801666
101,562500	-74,306206
105,468750	-69,053307
109,375000	-65,981300
113,281250	-63,969425
117,187500	-70,304871
121,093750	-68,965683
125,000000	-72,708549
128,906250	-64,348701
132,812500	-64,299484
136,718750	-67,022415
140,625000	-66,930283
144,531250	-65,429047
148,437500	-65,914909
152,343750	-66,667023
156,250000	-65,846741
160,156250	-71,212036
164,062500	-68,169823
167,968750	-63,241932
171,875000	-64,715652
175,781250	-67,500298
179,687500	-67,839539
183,593750	-68,035728
187,500000	-69,306564
191,406250	-78,223160
195,312500	-70,986404
199,218750	-72,148155
203,125000	-76,025581
207,031250	-68,094238
210,937500	-67,199631
214,843750	-66,138145
218,750000	-64,020432
222,656250	-65,398056
226,562500	-71,307205
230,468750	-69,270935
234,375000	-69,960243
238,281250	-67,884850
242,187500	-67,802872
246,093750	-66,622253
250,000000	-70,602669
253,906250	-73,886353
257,812500	-70,584114
261,718750	-69,876953
265,625000	-68,692924
269,531250	-66,679001
273,437500	-77,824104
277,343750	-71,691521
281,250000	-67,859085
285,156250	-76,780296
289,062500	-68,192207
292,968750	-65,841255
296,875000	-65,453369
300,781250	-64,604309
304,687500	-69,281212
308,593750	-66,799294
312,500000	-66,063972
316,406250	-69,391960
320,312500	-70,573257
324,218750	-66,419708
328,125000	-66,729874
332,031250	-78,597771
335,937500	-72,451233
339,843750	-65,275810
343,750000	-66,282593
347,656250	-74,624084
351,562500	-79,368675
355,468750	-70,417862
359,375000	-68,262650
363,281250	-73,906929
367,187500	-81,571846
371,093750	-69,822906
375,000000	-68,279472
378,906250	-66,230476
382,812500	-68,642570
386,718750	-69,246185
390,625000	-72,384613
394,531250	-68,808815
398,437500	-67,611534
402,343750	-75,761803
406,250000	-69,277504
410,156250	-69,402908
414,062500	-74,359344
417,968750	-68,513969
421,875000	-65,983078
425,781250	-70,657265
429,687500	-74,074486
433,593750	-71,783989
437,500000	-67,848938
441,406250	-69,335693
445,312500	-74,613388
449,218750	-81,643562
453,125000	-73,739708
457,031250	-69,575569
460,937500	-71,593842
464,843750	-67,698982
468,750000	-72,360146
472,656250	-70,110703
476,562500	-67,359619
480,468750	-75,376640
484,375000	-72,745865
488,281250	-68,294037
492,187500	-71,771614
496,093750	-69,484711
500,000000	-67,249100
503,906250	-67,109428
507,812500	-68,353706
511,718750	-76,714523
515,625000	-69,564896
519,531250	-70,014488
523,437500	-71,767159
527,343750	-76,109711
531,250000	-76,392166
535,156250	-70,840912
539,062500	-68,255348
542,968750	-69,931824
546,875000	-69,978714
550,781250	-72,994453
554,687500	-73,178650
558,593750	-69,444748
562,500000	-74,169632
566,406250	-75,932076
570,312500	-71,154030
574,218750	-68,455292
578,125000	-68,443192
582,031250	-68,507324
585,937500	-69,358688
589,843750	-74,143463
593,750000	-81,706535
597,656250	-73,831352
601,562500	-69,254318
605,468750	-71,314873
609,375000	-68,599586
613,281250	-68,813919
617,187500	-74,697220
621,093750	-71,479042
625,000000	-69,194710
628,906250	-71,019707
632,812500	-70,029533
636,718750	-68,897362
640,625000	-82,540489
644,531250	-74,903053
648,437500	-69,612869
652,343750	-67,379868
656,250000	-69,364601
660,156250	-70,908791
664,062500	-68,873596
667,968750	-68,319748
671,875000	-69,184273
675,781250	-70,608444
679,687500	-69,835411
683,593750	-69,081436
687,500000	-70,873184
691,406250	-69,712685
695,312500	-74,362747
699,218750	-69,015831
703,125000	-70,224915
707,031250	-74,772545
710,937500	-72,898491
714,843750	-71,161240
718,750000	-69,102150
722,656250	-72,920639
726,562500	-72,260582
730,468750	-69,510574
734,375000	-64,601318
738,281250	-66,453926
742,187500	-70,647675
746,093750	-71,961472
750,000000	-75,312119
753,906250	-75,380417
757,812500	-70,649582
761,718750	-70,045700
765,625000	-72,976013
769,531250	-88,812782
773,437500	-80,028664
777,343750	-76,651077
781,250000	-71,435883
785,156250	-69,493034
789,062500	-74,199837
792,968750	-75,323341
796,875000	-74,754623
800,781250	-78,818970
804,687500	-70,165764
808,593750	-72,952896
812,500000	-73,664658
816,406250	-70,581841
820,312500	-68,092499
824,218750	-63,169640
828,125000	-59,164539
832,031250	-57,666973
835,937500	-58,655487
839,843750	-62,737194
843,750000	-59,885715
847,656250	-59,754143
851,562500	-57,873623
855,468750	-63,506371
859,375000	-62,264439
863,281250	-62,661892
867,187500	-62,476276
871,093750	-57,307648
875,000000	-50,947701
878,906250	-48,707478
882,812500	-49,861153
886,718750	-48,463497
890,625000	-48,035381
894,531250	-50,280708
898,437500	-55,093964
902,343750	-57,109150
906,250000	-62,990234
910,156250	-75,231995
914,062500	-72,709702
917,968750	-70,253960
921,875000	-71,637444
925,781250	-70,136230
929,687500	-66,341049
933,593750	-67,475624
937,500000	-69,643333
941,406250	-72,978081
945,312500	-83,060776
949,218750	-70,361977
953,125000	-71,421997
957,031250	-82,992592
960,937500	-70,389160
964,843750	-71,317566
968,750000	-70,806862
972,656250	-71,083382
976,562500	-70,059845
980,468750	-72,959679
984,375000	-74,429489
988,281250	-74,005264
992,187500	-73,756294
996,093750	-69,775581
1000,000000	-72,463707
1003,906250	-73,182701
1007,812500	-71,111565
1011,718750	-71,496635
1015,625000	-74,311394
1019,531250	-69,624451
1023,437500	-67,608788
1027,343750	-72,958733
1031,250000	-75,236176
1035,156250	-75,085915
1039,062500	-71,133369
1042,968750	-69,100166
1046,875000	-68,396217
1050,781250	-72,432579
1054,687500	-71,055595
1058,593750	-71,951569
1062,500000	-76,184914
1066,406250	-83,622009
1070,312500	-76,293678
1074,218750	-70,514572
1078,125000	-72,157021
1082,031250	-73,672165
1085,937500	-71,619263
1089,843750	-75,578423
1093,750000	-78,983459
1097,656250	-73,501190
1101,562500	-73,020744
1105,468750	-73,304131
1109,375000	-71,490280
1113,281250	-73,757935
1117,187500	-70,797363
1121,093750	-71,522781
1125,000000	-77,912270
1128,906250	-72,882698
1132,812500	-69,551987
1136,718750	-69,959671
1140,625000	-70,655533
1144,531250	-78,401237
1148,437500	-76,609863
1152,343750	-78,636826
1156,250000	-76,721710
1160,156250	-74,466415
1164,062500	-70,349525
1167,968750	-68,872650
1171,875000	-73,757698
1175,781250	-71,149506
1179,687500	-72,269478
1183,593750	-70,377464
1187,500000	-76,106094
1191,406250	-70,967384
1195,312500	-72,060188
1199,218750	-72,127258
1203,125000	-73,761032
1207,031250	-69,452377
1210,937500	-70,855598
1214,843750	-75,469917
1218,750000	-80,328781
1222,656250	-73,301582
1226,562500	-69,816338
1230,468750	-71,038689
1234,375000	-72,548805
1238,281250	-77,803207
1242,187500	-69,597366
1246,093750	-68,758675
1250,000000	-70,283043
1253,906250	-69,851074
1257,812500	-70,975250
1261,718750	-75,766800
1265,625000	-70,956039
1269,531250	-67,905357
1273,437500	-75,463646
1277,343750	-77,077316
1281,250000	-72,555328
1285,156250	-71,620644
1289,062500	-79,782883
1292,968750	-70,564110
1296,875000	-70,145279
1300,781250	-72,095192
1304,687500	-75,365303
1308,593750	-80,463097
1312,500000	-77,112976
1316,406250	-73,376961
1320,312500	-75,136093
1324,218750	-74,047653
1328,125000	-74,490692
1332,031250	-72,390907
1335,937500	-70,103294
1339,843750	-69,698257
1343,750000	-74,539520
1347,656250	-77,948914
1351,562500	-91,383118
1355,468750	-75,565483
1359,375000	-80,465904
1363,281250	-70,870483
1367,187500	-74,641006
1371,093750	-74,743240
1375,000000	-70,426071
1378,906250	-70,103333
1382,812500	-73,622551
1386,718750	-78,143242
1390,625000	-73,934219
1394,531250	-72,174370
1398,437500	-80,019630
1402,343750	-77,061058
1406,250000	-75,043892
1410,156250	-68,622711
1414,062500	-69,127556
1417,968750	-74,125160
1421,875000	-75,458038
1425,781250	-69,068657
1429,687500	-69,186501
1433,593750	-73,730484
1437,500000	-74,085945
1441,406250	-73,827431
1445,312500	-71,338005
1449,218750	-70,353317
1453,125000	-72,349693
1457,031250	-79,833939
1460,937500	-72,503319
1464,843750	-70,664261
1468,750000	-73,721550
1472,656250	-75,544754
1476,562500	-76,815193
1480,468750	-70,458168
1484,375000	-71,013390
1488,281250	-78,803352
1492,187500	-72,367111
1496,093750	-72,818504
1500,000000	-72,540733
1503,906250	-69,483147
1507,812500	-74,983841
1511,718750	-79,597649
1515,625000	-76,173958
1519,531250	-74,980438
1523,437500	-73,345276
1527,343750	-77,897972
1531,250000	-79,750168
1535,156250	-76,731720
1539,062500	-76,854576
1542,968750	-73,151695
1546,875000	-70,544754
1550,781250	-69,080261
1554,687500	-73,599808
1558,593750	-95,596344
1562,500000	-77,361961
1566,406250	-76,813133
1570,312500	-70,262260
1574,218750	-67,356110
1578,125000	-68,232597
1582,031250	-76,994560
1585,937500	-77,950531
1589,843750	-71,481239
1593,750000	-71,596245
1597,656250	-77,342140
1601,562500	-73,422562
1605,468750	-72,391090
1609,375000	-70,641075
1613,281250	-73,821640
1617,187500	-70,107414
1621,093750	-69,373489
1625,000000	-68,829399
1628,906250	-69,401024
1632,812500	-69,629227
1636,718750	-70,703094
1640,625000	-70,913574
1644,531250	-71,745392
1648,437500	-71,858543
1652,343750	-67,393471
1656,250000	-66,706177
1660,156250	-69,758118
1664,062500	-71,162285
1667,968750	-72,190437
1671,875000	-73,414810
1675,781250	-70,519058
1679,687500	-69,087357
1683,593750	-72,346809
1687,500000	-73,093445
1691,406250	-76,493477
1695,312500	-71,480682
1699,218750	-75,775002
1703,125000	-72,494843
1707,031250	-71,525055
1710,937500	-70,336243
1714,843750	-73,087425
1718,750000	-74,984589
1722,656250	-69,141335
1726,562500	-70,280281
1730,468750	-66,963081
1734,375000	-64,267586
1738,281250	-65,287804
1742,187500	-61,296078
1746,093750	-60,574009
1750,000000	-55,961452
1753,906250	-54,960384
1757,812500	-50,823635
1761,718750	-53,773464
1765,625000	-52,991810
1769,531250	-52,319431
1773,437500	-56,683537
1777,343750	-55,924477
1781,250000	-48,956264
1785,156250	-48,452457
1789,062500	-48,888130
1792,968750	-50,399925
1796,875000	-55,367538
1800,781250	-60,139893
1804,687500	-64,375008
1808,593750	-64,127914
1812,500000	-66,570541
1816,406250	-72,701675
1820,312500	-70,065399
1824,218750	-77,375694
1828,125000	-70,474976
1832,031250	-76,177605
1835,937500	-72,758278
1839,843750	-77,424316
1843,750000	-70,641647
1847,656250	-71,018959
1851,562500	-69,965385
1855,468750	-70,412987
1859,375000	-68,851311
1863,281250	-70,247330
1867,187500	-73,711853
1871,093750	-71,541344
1875,000000	-73,814972
1878,906250	-75,444939
1882,812500	-73,459785
1886,718750	-72,364487
1890,625000	-78,956581
1894,531250	-68,194382
1898,437500	-69,678703
1902,343750	-73,837555
1906,250000	-85,541832
1910,156250	-76,378578
1914,062500	-70,189255
1917,968750	-67,659584
1921,875000	-71,709984
1925,781250	-79,412849
1929,687500	-69,101746
1933,593750	-67,469040
1937,500000	-71,207657
1941,406250	-73,515610
1945,312500	-70,892921
1949,218750	-74,282089
1953,125000	-80,643486
1957,031250	-72,030991
1960,937500	-70,349060
1964,843750	-71,115486
1968,750000	-71,267715
1972,656250	-73,031715
1976,562500	-71,971687
1980,468750	-72,184631
1984,375000	-74,980331
1988,281250	-81,503334
1992,187500	-72,719963
1996,093750	-70,970337
2000,000000	-74,911041
2003,906250	-77,102463
2007,812500	-71,441841
2011,718750	-72,010529
2015,625000	-74,158142
2019,531250	-74,942902
2023,437500	-76,093330
2027,343750	-78,260490
2031,250000	-76,117737
2035,156250	-79,732079
2039,062500	-73,568901
2042,968750	-79,994049
2046,875000	-73,471039
2050,781250	-69,643509
2054,687500	-68,229446
2058,593750	-74,310226
2062,500000	-83,537132
2066,406250	-81,032700
2070,312500	-79,621086
2074,218750	-74,443382
2078,125000	-81,466148
2082,031250	-78,846687
2085,937500	-77,516922
2089,843750	-75,472267
2093,750000	-76,092148
2097,656250	-75,116936
2101,562500	-73,827492
2105,468750	-71,909531
2109,375000	-74,982986
2113,281250	-76,546814
2117,187500	-72,241249
2121,093750	-72,541229
2125,000000	-70,105011
2128,906250	-73,090050
2132,812500	-77,021019
2136,718750	-73,827164
2140,625000	-83,560631
2144,531250	-78,276466
2148,437500	-77,007202
2152,343750	-72,441978
2156,250000	-76,007164
2160,156250	-80,467957
2164,062500	-75,031898
2167,968750	-73,632057
2171,875000	-70,385918
2175,781250	-71,962227
2179,687500	-78,436615
2183,593750	-82,668549
2187,500000	-78,003853
2191,406250	-73,999191
2195,312500	-73,607994
2199,218750	-72,582748
2203,125000	-77,150650
2207,031250	-77,968307
2210,937500	-79,978836
2214,843750	-84,616783
2218,750000	-75,933968
2222,656250	-73,106712
2226,562500	-73,866600
2230,468750	-71,847778
2234,375000	-69,863800
2238,281250	-70,542908
2242,187500	-77,170776
2246,093750	-79,786774
2250,000000	-73,812790
2253,906250	-70,995377
2257,812500	-70,986679
2261,718750	-74,785683
2265,625000	-81,477234
2269,531250	-73,621529
2273,437500	-72,001045
2277,343750	-72,410568
2281,250000	-77,672607
2285,156250	-73,293854
2289,062500	-72,281265
2292,968750	-72,440262
2296,875000	-72,582748
2300,781250	-78,244110
2304,687500	-76,962502
2308,593750	-71,682549
2312,500000	-74,043571
2316,406250	-76,685135
2320,312500	-79,275856
2324,218750	-79,322250
2328,125000	-72,072411
2332,031250	-73,300026
2335,937500	-76,978668
2339,843750	-79,430939
2343,750000	-77,174896
2347,656250	-72,137497
2351,562500	-69,377602
2355,468750	-71,503159
2359,375000	-73,169594
2363,281250	-70,010712
2367,187500	-72,221558
2371,093750	-77,750000
2375,000000	-74,984894
2378,906250	-75,875992
2382,812500	-76,177597
2386,718750	-78,484604
2390,625000	-74,344734
2394,531250	-73,470291
2398,437500	-70,341721
2402,343750	-73,185699
2406,250000	-78,390640
2410,156250	-80,744843
2414,062500	-73,617081
2417,968750	-74,215836
2421,875000	-76,947655
2425,781250	-76,266655
2429,687500	-75,342758
2433,593750	-74,269302
2437,500000	-74,730255
2441,406250	-74,777077
2445,312500	-75,694374
2449,218750	-74,425636
2453,125000	-75,038834
2457,031250	-72,979179
2460,937500	-71,049217
2464,843750	-75,649483
2468,750000	-75,954956
2472,656250	-75,812775
2476,562500	-79,652405
2480,468750	-82,281067
2484,375000	-72,912643
2488,281250	-76,311554
2492,187500	-78,765793
2496,093750	-76,091049
2500,000000	-73,302437
2503,906250	-74,080437
2507,812500	-83,809395
2511,718750	-79,186691
2515,625000	-75,469170
2519,531250	-77,481712
2523,437500	-77,517441
2527,343750	-76,207939
2531,250000	-74,964607
2535,156250	-77,667763
2539,062500	-72,527351
2542,968750	-69,128151
2546,875000	-68,847214
2550,781250	-76,150520
2554,687500	-71,667061
2558,593750	-69,821831
2562,500000	-70,393372
2566,406250	-69,552322
2570,312500	-74,659897
2574,218750	-84,311569
2578,125000	-82,547752
2582,031250	-75,337845
2585,937500	-73,429123
2589,843750	-75,909332
2593,750000	-75,474121
2597,656250	-79,133476
2601,562500	-73,284912
2605,468750	-72,244514
2609,375000	-79,413467
2613,281250	-72,138657
2617,187500	-71,145493
2621,093750	-69,376961
2625,000000	-73,390259
2628,906250	-74,469040
2632,812500	-72,914474
2636,718750	-82,736862
2640,625000	-78,225937
2644,531250	-76,643280
2648,437500	-77,032532
2652,343750	-77,477196
2656,250000	-85,472626
2660,156250	-73,766579
2664,062500	-71,114113
2667,968750	-71,170219
2671,875000	-75,181633
2675,781250	-76,503342
2679,687500	-69,513329
2683,593750	-69,531136
2687,500000	-71,712234
2691,406250	-71,728683
2695,312500	-73,369881
2699,218750	-74,515549
2703,125000	-74,029785
2707,031250	-78,378662
2710,937500	-80,316628
2714,843750	-79,888245
2718,750000	-77,299957
2722,656250	-74,167404
2726,562500	-75,808464
2730,468750	-77,286980
2734,375000	-70,817886
2738,281250	-82,933495
2742,187500	-72,182388
2746,093750	-69,844391
2750,000000	-72,160217
2753,906250	-83,278366
2757,812500	-83,143379
2761,718750	-79,123955
2765,625000	-74,407280
2769,531250	-78,514908
2773,437500	-74,013115
2777,343750	-72,963783
2781,250000	-77,961464
2785,156250	-78,608444
2789,062500	-76,441742
2792,968750	-74,848091
2796,875000	-78,375938
2800,781250	-75,262047
2804,687500	-73,278175
2808,593750	-76,307114
2812,500000	-78,672432
2816,406250	-76,059578
2820,312500	-81,735893
2824,218750	-79,707344
2828,125000	-72,202003
2832,031250	-70,423058
2835,937500	-72,415192
2839,843750	-77,229950
2843,750000	-73,551216
2847,656250	-73,943413
2851,562500	-73,615593
2855,468750	-71,143326
2859,375000	-69,046257
2863,281250	-68,867134
2867,187500	-72,888382
2871,093750	-75,807022
2875,000000	-69,811768
2878,906250	-67,765976
2882,812500	-73,009789
2886,718750	-73,720421
2890,625000	-79,482361
2894,531250	-73,677963
2898,437500	-71,790169
2902,343750	-74,988220
2906,250000	-73,395920
2910,156250	-73,087433
2914,062500	-74,740318
2917,968750	-79,646477
2921,875000	-73,076584
2925,781250	-74,000008
2929,687500	-77,511566
2933,593750	-76,441566
2937,500000	-73,731133
2941,406250	-72,410873
2945,312500	-72,162163
2949,218750	-77,190643
2953,125000	-80,708328
2957,031250	-73,625763
2960,937500	-70,392738
2964,843750	-72,736855
2968,750000	-73,538712
2972,656250	-73,545319
2976,562500	-74,770325
2980,468750	-76,284195
2984,375000	-79,328651
2988,281250	-71,984528
2992,187500	-72,044952
2996,093750	-71,117096
3000,000000	-68,954369
3003,906250	-76,449310
3007,812500	-72,976685
3011,718750	-73,807167
3015,625000	-77,012741
3019,531250	-77,924408
3023,437500	-77,462051
3027,343750	-76,881767
3031,250000	-77,502235
3035,156250	-74,208870
3039,062500	-79,587334
3042,968750	-83,952415
3046,875000	-77,169502
3050,781250	-75,265594
3054,687500	-77,409515
3058,593750	-71,752594
3062,500000	-73,694183
3066,406250	-75,522812
3070,312500	-73,139366
3074,218750	-77,769516
3078,125000	-74,284721
3082,031250	-77,671417
3085,937500	-81,593582
3089,843750	-73,465805
3093,750000	-71,739006
3097,656250	-75,009521
3101,562500	-76,266464
3105,468750	-73,773499
3109,375000	-73,033577
3113,281250	-80,139496
3117,187500	-74,723946
3121,093750	-70,328018
3125,000000	-73,805023
3128,906250	-79,336929
3132,812500	-78,770027
3136,718750	-76,361557
3140,625000	-78,475067
3144,531250	-79,662308
3148,437500	-84,330475
3152,343750	-78,670555
3156,250000	-71,803352
3160,156250	-73,867119
3164,062500	-76,387794
3167,968750	-78,881836
3171,875000	-78,058281
3175,781250	-75,856407
3179,687500	-77,949455
3183,593750	-80,036423
3187,500000	-77,967865
3191,406250	-75,105431
3195,312500	-74,056969
3199,218750	-78,244400
3203,125000	-75,207260
3207,031250	-71,303658
3210,937500	-70,960007
3214,843750	-73,796982
3218,750000	-77,854240
3222,656250	-73,359512
3226,562500	-72,709267
3230,468750	-76,053406
3234,375000	-79,242012
3238,281250	-77,172607
3242,187500	-76,156792
3246,093750	-73,786438
3250,000000	-74,864388
3253,906250	-77,519165
3257,812500	-76,664078
3261,718750	-77,552086
3265,625000	-82,329689
3269,531250	-77,921349
3273,437500	-78,298698
3277,343750	-80,991898
3281,250000	-75,654243
3285,156250	-76,687584
3289,062500	-84,611717
3292,968750	-78,724777
3296,875000	-74,933868
3300,781250	-76,123444
3304,687500	-79,183075
3308,593750	-81,924789
3312,500000	-77,366425
3316,406250	-73,237770
3320,312500	-73,656960
3324,218750	-76,782349
3328,125000	-77,346657
3332,031250	-74,541023
3335,937500	-74,357307
3339,843750	-74,848434
3343,750000	-72,102882
3347,656250	-76,750725
3351,562500	-81,293198
3355,468750	-80,307274
3359,375000	-74,310913
3363,281250	-72,953232
3367,187500	-73,570709
3371,093750	-74,357231
3375,000000	-74,058578
3378,906250	-72,679108
3382,812500	-69,055962
3386,718750	-70,202888
3390,625000	-79,234909
3394,531250	-79,520676
3398,437500	-77,101105
3402,343750	-73,378998
3406,250000	-76,080986
3410,156250	-78,076408
3414,062500	-79,818344
3417,968750	-79,385483
3421,875000	-75,118919
3425,781250	-70,912155
3429,687500	-68,930061
3433,593750	-76,502060
3437,500000	-72,712212
3441,406250	-73,629150
3445,312500	-70,575356
3449,218750	-71,408562
3453,125000	-75,328407
3457,031250	-74,927643
3460,937500	-73,348602
3464,843750	-77,362183
3468,750000	-72,755493
3472,656250	-70,106743
3476,562500	-74,839905
3480,468750	-75,195450
3484,375000	-74,400803
3488,281250	-75,174156
3492,187500	-83,665115
3496,093750	-75,902634
3500,000000	-77,333916
3503,906250	-77,169022
3507,812500	-74,831390
3511,718750	-70,695343
3515,625000	-72,610458
3519,531250	-75,267174
3523,437500	-76,092018
3527,343750	-72,641579
3531,250000	-75,904442
3535,156250	-72,930931
3539,062500	-69,221390
3542,968750	-75,161407
3546,875000	-77,831451
3550,781250	-77,747704
3554,687500	-75,979607
3558,593750	-72,656189
3562,500000	-70,686775
3566,406250	-72,980995
3570,312500	-70,504608
3574,218750	-73,423615
3578,125000	-71,703468
3582,031250	-69,945038
3585,937500	-67,062897
3589,843750	-76,318962
3593,750000	-72,252563
3597,656250	-78,196777
3601,562500	-69,777184
3605,468750	-74,724945
3609,375000	-76,254219
3613,281250	-74,579552
3617,187500	-76,608650
3621,093750	-73,799026
3625,000000	-76,236542
3628,906250	-83,028000
3632,812500	-77,555000
3636,718750	-74,465080
3640,625000	-80,310371
3644,531250	-78,321068
3648,437500	-81,657249
3652,343750	-76,509239
3656,250000	-84,146301
3660,156250	-79,174332
3664,062500	-76,044380
3667,968750	-73,038994
3671,875000	-69,677742
3675,781250	-73,920692
3679,687500	-72,135323
3683,593750	-73,759384
3687,500000	-76,658005
3691,406250	-74,532791
3695,312500	-79,172897
3699,218750	-76,098404
3703,125000	-75,751976
3707,031250	-76,078087
3710,937500	-75,446533
3714,843750	-76,741470
3718,750000	-76,019547
3722,656250	-72,054169
3726,562500	-73,313332
3730,468750	-72,885567
3734,375000	-77,559250
3738,281250	-73,740250
3742,187500	-69,294785
3746,093750	-73,933456
3750,000000	-78,409660
3753,906250	-73,095116
3757,812500	-73,039154
3761,718750	-79,494087
3765,625000	-77,851158
3769,531250	-74,911499
3773,437500	-78,705780
3777,343750	-78,321503
3781,250000	-82,456360
3785,156250	-79,951851
3789,062500	-77,690620
3792,968750	-80,406960
3796,875000	-83,552582
3800,781250	-80,651421
3804,687500	-87,646049
3808,593750	-80,954086
3812,500000	-76,459351
3816,406250	-72,658394
3820,312500	-74,830841
3824,218750	-80,930305
3828,125000	-80,270821
3832,031250	-79,366493
3835,937500	-75,898094
3839,843750	-72,760056
3843,750000	-71,059959
3847,656250	-77,104576
3851,562500	-71,986824
3855,468750	-71,122902
3859,375000	-74,637764
3863,281250	-77,167389
3867,187500	-77,443764
3871,093750	-73,377106
3875,000000	-70,238037
3878,906250	-78,304535
3882,812500	-79,015923
3886,718750	-87,471313
3890,625000	-73,794685
3894,531250	-70,096657
3898,437500	-74,756516
3902,343750	-73,765167
3906,250000	-72,603203
3910,156250	-75,176285
