Fréquence (Hz)	Niveau (dB)
0,244141	-122,424492
0,488281	-119,765152
0,732422	-109,325775
0,976563	-101,745529
1,220703	-96,961388
1,464844	-97,321335
1,708984	-99,521843
1,953125	-98,250214
2,197266	-93,130760
2,441406	-89,901031
2,685547	-91,917557
2,929688	-92,938416
3,173828	-93,723938
3,417969	-93,771339
3,662109	-92,482430
3,906250	-94,468620
4,150391	-93,785744
4,394531	-91,379768
4,638672	-90,668388
4,882813	-92,899689
5,126953	-92,860741
5,371094	-90,449928
5,615234	-95,894020
5,859375	-96,322411
6,103516	-94,515892
6,347656	-91,165329
6,591797	-90,444572
6,835938	-96,129158
7,080078	-91,564003
7,324219	-89,960358
7,568359	-94,524307
7,812500	-93,553406
8,056641	-89,244553
8,300781	-92,281822
8,544922	-97,968475
8,789063	-89,083847
9,033203	-86,333458
9,277344	-89,758446
9,521484	-91,394348
9,765625	-91,485954
10,009766	-97,029266
10,253906	-95,828362
10,498047	-91,659271
10,742188	-92,431541
10,986328	-94,574249
11,230469	-90,068787
11,474609	-92,626228
11,718750	-92,558182
11,962891	-92,729164
12,207031	-94,247177
12,451172	-90,768417
12,695313	-90,335983
12,939453	-89,142723
13,183594	-89,832878
13,427734	-92,268845
13,671875	-91,447769
13,916016	-89,764633
14,160156	-91,713242
14,404297	-89,698174
14,648438	-91,772125
14,892578	-92,129959
15,136719	-95,173210
15,380859	-92,270454
15,625000	-88,414322
15,869141	-86,930443
16,113281	-88,531319
16,357422	-88,355606
16,601563	-92,350578
16,845703	-92,146500
17,089844	-90,896530
17,333984	-87,317215
17,578125	-85,452820
17,822266	-90,601639
18,066406	-91,020714
18,310547	-92,335167
18,554688	-93,434128
18,798828	-89,327286
19,042969	-91,808510
19,287109	-90,179749
19,531250	-91,791100
19,775391	-89,166893
20,019531	-87,967583
20,263672	-89,257591
20,507813	-90,905663
20,751953	-92,027023
20,996094	-94,632462
21,240234	-94,927223
21,484375	-93,791000
21,728516	-92,020454
21,972656	-93,719574
22,216797	-96,274635
22,460938	-94,894035
22,705078	-95,109306
22,949219	-95,018524
23,193359	-92,470108
23,437500	-92,683754
23,681641	-95,009270
23,925781	-100,782204
24,169922	-98,139862
24,414063	-94,419235
24,658203	-95,659714
24,902344	-101,030373
25,146484	-91,343758
25,390625	-88,540665
25,634766	-89,599220
25,878906	-93,701302
26,123047	-95,313286
26,367188	-93,918411
26,611328	-93,013885
26,855469	-94,835205
27,099609	-93,257095
27,343750	-92,589661
27,587891	-89,996040
27,832031	-91,947357
28,076172	-98,768379
28,320313	-95,377876
28,564453	-90,693977
28,808594	-91,472946
29,052734	-92,916107
29,296875	-93,623329
29,541016	-93,123581
29,785156	-92,943092
30,029297	-92,554344
30,273438	-89,516289
30,517578	-95,023712
30,761719	-100,338707
31,005859	-94,109596
31,250000	-93,399223
31,494141	-95,056152
31,738281	-90,046608
31,982422	-90,000259
32,226563	-93,420998
32,470703	-100,058388
32,714844	-97,847519
32,958984	-95,636253
33,203125	-93,945183
33,447266	-94,532440
33,691406	-94,805618
33,935547	-95,046310
34,179688	-96,653297
34,423828	-96,511635
34,667969	-98,692543
34,912109	-95,053009
35,156250	-99,212646
35,400391	-97,638504
35,644531	-95,582657
35,888672	-94,198776
36,132813	-94,282349
36,376953	-93,542267
36,621094	-97,650192
36,865234	-95,701256
37,109375	-95,823296
37,353516	-96,640007
37,597656	-97,936996
37,841797	-101,608910
38,085938	-99,477623
38,330078	-97,737846
38,574219	-95,769310
38,818359	-95,705246
39,062500	-96,772316
39,306641	-97,264313
39,550781	-96,153214
39,794922	-102,499466
40,039063	-100,051483
40,283203	-97,671104
40,527344	-101,558502
40,771484	-100,987312
41,015625	-98,075859
41,259766	-94,936180
41,503906	-93,971100
41,748047	-101,406593
41,992188	-98,199127
42,236328	-96,263077
42,480469	-100,069595
42,724609	-101,098145
42,968750	-99,343346
43,212891	-102,861359
43,457031	-99,703476
43,701172	-95,727493
43,945313	-97,374069
44,189453	-104,025917
44,433594	-103,707932
44,677734	-100,614037
44,921875	-102,135994
45,166016	-99,577637
45,410156	-99,147781
45,654297	-101,597771
45,898438	-105,139435
46,142578	-103,843971
46,386719	-101,872681
46,630859	-103,858292
46,875000	-102,491013
47,119141	-100,867622
47,363281	-99,356186
47,607422	-103,916351
47,851563	-101,809883
48,095703	-102,366440
48,339844	-104,799500
48,583984	-107,081070
48,828125	-110,418732
49,072266	-106,397057
49,316406	-108,257515
49,560547	-112,683807
49,804688	-108,225624
50,048828	-103,792183
50,292969	-112,457031
50,537109	-113,510529
50,781250	-119,956612
51,025391	-116,613892
51,269531	-118,219429
51,513672	-122,822273
51,757813	-119,742233
52,001953	-120,233521
52,246094	-126,738968
52,490234	-125,168007
52,734375	-117,126053
52,978516	-114,391953
53,222656	-116,179779
53,466797	-115,995010
53,710938	-118,632111
53,955078	-117,053894
54,199219	-108,440018
54,443359	-108,433563
54,687500	-108,195992
54,931641	-105,138870
55,175781	-105,750542
55,419922	-106,041222
55,664063	-105,357185
55,908203	-108,549919
56,152344	-104,704819
